x,deriv3,deriv5,exact
0,0.9993288,0.99999946,1
0.063467,0.99731683,0.99798614,0.99798668
0.126933,0.99128901,0.99195428,0.99195481
0.1904,0.98126963,0.98192817,0.9819287
0.253866,0.96729902,0.96794818,0.9679487
0.317333,0.94943343,0.9500706,0.95007112
0.380799,0.92774481,0.92836743,0.92836793
0.444266,0.9023205,0.90292605,0.90292654
0.507732,0.87326285,0.8738489,0.87384938
0.571199,0.84068889,0.84125308,0.84125353
0.634665,0.80472976,0.80526982,0.80527026
0.698132,0.76553028,0.76604403,0.76604444
0.761598,0.72324827,0.72373365,0.72373404
0.825065,0.678054,0.67850904,0.67850941
0.888531,0.63012944,0.63055233,0.63055267
0.951998,0.57966758,0.5800566,0.58005691
1.015464,0.52687159,0.52722518,0.52722547
1.078931,0.47195409,0.47227082,0.47227107
1.142397,0.41513619,0.41541479,0.41541501
1.205864,0.35664668,0.35688603,0.35688622
1.26933,0.29672108,0.29692021,0.29692038
1.332797,0.23560069,0.23575881,0.23575894
1.396263,0.17353163,0.17364808,0.17364818
1.45973,0.11076381,0.11083814,0.1108382
1.523196,0.04754998,0.04758189,0.04758192
1.586663,-0.01585531,-0.01586596,-0.01586596
1.650129,-0.07919676,-0.07924991,-0.07924996
1.713596,-0.14221932,-0.14231476,-0.14231484
1.777063,-0.2046692,-0.20480656,-0.20480667
1.840529,-0.26629496,-0.26647367,-0.26647381
1.903996,-0.32684844,-0.32706779,-0.32706796
1.967462,-0.38608581,-0.38634492,-0.38634513
2.030929,-0.44376856,-0.44406637,-0.44406661
2.094395,-0.4996644,-0.49999973,-0.5
2.157862,-0.55354827,-0.55391976,-0.55392006
2.221328,-0.6052032,-0.60560936,-0.60560969
2.284795,-0.65442119,-0.65486038,-0.65486073
2.348261,-0.70100406,-0.70147451,-0.70147489
2.411728,-0.74476423,-0.74526405,-0.74526445
2.475194,-0.7855255,-0.78605267,-0.78605309
2.538661,-0.82312373,-0.82367614,-0.82367658
2.602127,-0.85740754,-0.85798295,-0.85798341
2.665594,-0.88823886,-0.88883497,-0.88883545
2.72906,-0.91549357,-0.91610796,-0.91610846
2.792527,-0.9390619,-0.93969211,-0.93969262
2.855993,-0.95884896,-0.95949245,-0.95949297
2.91946,-0.97477508,-0.97542926,-0.97542979
2.982926,-0.98677612,-0.98743835,-0.98743889
3.046393,-0.99480376,-0.99547138,-0.99547192
3.109859,-0.99882568,-0.999496,-0.99949654
3.173326,-0.99882568,-0.999496,-0.99949654
3.236792,-0.99480376,-0.99547138,-0.99547192
3.300259,-0.98677612,-0.98743835,-0.98743889
3.363725,-0.97477508,-0.97542926,-0.97542979
3.427192,-0.95884896,-0.95949245,-0.95949297
3.490659,-0.9390619,-0.93969211,-0.93969262
3.554125,-0.91549357,-0.91610796,-0.91610846
3.617592,-0.88823886,-0.88883497,-0.88883545
3.681058,-0.85740754,-0.85798295,-0.85798341
3.744525,-0.82312373,-0.82367614,-0.82367658
3.807991,-0.7855255,-0.78605267,-0.78605309
3.871458,-0.74476423,-0.74526405,-0.74526445
3.934924,-0.70100406,-0.70147451,-0.70147489
3.998391,-0.65442119,-0.65486038,-0.65486073
4.061857,-0.6052032,-0.60560936,-0.60560969
4.125324,-0.55354827,-0.55391976,-0.55392006
4.18879,-0.4996644,-0.49999973,-0.5
4.252257,-0.44376856,-0.44406637,-0.44406661
4.315723,-0.38608581,-0.38634492,-0.38634513
4.37919,-0.32684844,-0.32706779,-0.32706796
4.442656,-0.26629496,-0.26647367,-0.26647381
4.506123,-0.2046692,-0.20480656,-0.20480667
4.569589,-0.14221932,-0.14231476,-0.14231484
4.633056,-0.07919676,-0.07924991,-0.07924996
4.696522,-0.01585531,-0.01586596,-0.01586596
4.759989,0.04754998,0.04758189,0.04758192
4.823455,0.11076381,0.11083814,0.1108382
4.886922,0.17353163,0.17364808,0.17364818
4.950388,0.23560069,0.23575881,0.23575894
5.013855,0.29672108,0.29692021,0.29692038
5.077321,0.35664668,0.35688603,0.35688622
5.140788,0.41513619,0.41541479,0.41541501
5.204254,0.47195409,0.47227082,0.47227107
5.267721,0.52687159,0.52722518,0.52722547
5.331188,0.57966758,0.5800566,0.58005691
5.394654,0.63012944,0.63055233,0.63055267
5.458121,0.678054,0.67850904,0.67850941
5.521587,0.72324827,0.72373365,0.72373404
5.585054,0.76553028,0.76604403,0.76604444
5.64852,0.80472976,0.80526982,0.80527026
5.711987,0.84068889,0.84125308,0.84125353
5.775453,0.87326285,0.8738489,0.87384938
5.83892,0.9023205,0.90292605,0.90292654
5.902386,0.92774481,0.92836743,0.92836793
5.965853,0.94943343,0.9500706,0.95007112
6.029319,0.96729902,0.96794818,0.9679487
6.092786,0.98126963,0.98192817,0.9819287
6.156252,0.99128901,0.99195428,0.99195481
6.219719,0.99731683,0.99798614,0.99798668
6.283185,0.9993288,0.99999946,1
