 r,Ureal,Uimag,Utot
0,-42.824394,-4.998999,43.11518
0.1,-39.260417,-4.998817,39.577374
0.2,-39.252146,-4.998603,39.569142
0.3,-39.244313,-4.99835,39.561339
0.4,-39.236647,-4.998051,39.553698
0.5,-39.22884,-4.997697,39.545908
0.6,-39.220532,-4.99728,39.537614
0.7,-39.211312,-4.996787,39.528406
0.8,-39.200709,-4.996204,39.517814
0.9,-39.188178,-4.995517,39.505297
1,-39.173097,-4.994704,39.490234
1.1,-39.154751,-4.993745,39.471914
1.2,-39.132319,-4.992613,39.44952
1.3,-39.104864,-4.991275,39.422116
1.4,-39.071311,-4.989696,39.388633
1.5,-39.030434,-4.987832,39.347849
1.6,-38.980834,-4.985631,39.298371
1.7,-38.920918,-4.983034,39.23861
1.8,-38.848876,-4.97997,39.166763
1.9,-38.762658,-4.976354,39.080785
2,-38.659943,-4.97209,38.978364
2.1,-38.538119,-4.967061,38.856895
2.2,-38.394252,-4.961134,38.713453
2.3,-38.225063,-4.95415,38.544767
2.4,-38.026906,-4.945924,38.3472
2.5,-37.795748,-4.936242,38.11673
2.6,-37.527166,-4.924852,37.848941
2.7,-37.216341,-4.911465,37.539026
2.8,-36.858079,-4.895743,37.181801
2.9,-36.446848,-4.877299,36.771739
3,-35.976838,-4.855688,36.303038
3.1,-35.442053,-4.830403,35.769707
3.2,-34.83644,-4.80087,35.165693
3.3,-34.154063,-4.766443,34.485055
3.4,-33.389311,-4.726403,33.722174
3.5,-32.537165,-4.679959,32.872011
3.6,-31.593493,-4.626255,31.930409
3.7,-30.555389,-4.564378,30.894422
3.8,-29.42152,-4.493378,29.762666
3.9,-28.192476,-4.412297,28.535663
4,-26.871076,-4.320202,27.216151
4.1,-25.462617,-4.216239,25.80933
4.2,-23.975005,-4.099691,24.323
4.3,-22.418767,-3.970045,22.767572
4.4,-20.806885,-3.827071,21.155919
4.5,-19.154478,-3.670894,19.503064
4.6,-17.478313,-3.502061,17.825708
4.7,-15.79619,-3.321588,16.141641
4.8,-14.126235,-3.130976,14.469054
4.9,-12.486176,-2.932193,12.825847
5,-10.892643,-2.727612,11.22896
5.1,-9.360561,-2.51991,9.693815
5.2,-7.902684,-2.311933,8.233921
5.3,-6.529281,-2.106542,6.860687
5.4,-5.247999,-1.906456,5.583553
5.5,-4.06388,-1.714116,4.410591
5.6,-2.979512,-1.531574,3.350106
5.7,-1.994997,-1.360423,2.414698
5.8,-1.104225,-1.201771,1.632044
5.9,-0.302695,-1.056252,1.098769
6,0.413619,-0.924066,1.012412
6.1,1.049615,-0.805046,1.322797
6.2,1.610767,-0.698728,1.755787
6.3,2.102861,-0.604427,2.188003
6.4,2.531794,-0.521311,2.584907
6.5,2.903398,-0.448459,2.937828
6.6,3.22332,-0.384912,3.246221
6.7,3.49693,-0.329718,3.51244
6.8,3.729262,-0.281954,3.739906
6.9,3.924979,-0.240753,3.932356
7,4.088357,-0.205311,4.093509
7.1,4.223284,-0.174895,4.226904
7.2,4.333273,-0.148844,4.335829
7.3,4.421474,-0.126572,4.423286
7.4,4.490701,-0.107559,4.491989
7.5,4.543453,-0.091349,4.544371
7.6,4.581943,-0.077542,4.582599
7.7,4.608124,-0.065795,4.608593
7.8,4.623711,-0.055807,4.624048
7.9,4.63021,-0.047321,4.630452
8,4.62894,-0.040114,4.629113
8.1,4.621048,-0.033998,4.621173
8.2,4.607538,-0.028809,4.607628
8.3,4.589281,-0.024408,4.589346
8.4,4.567033,-0.020676,4.56708
8.5,4.54145,-0.017513,4.541484
8.6,4.5131,-0.014832,4.513124
8.7,4.482472,-0.012561,4.48249
8.8,4.44999,-0.010637,4.450003
8.9,4.416018,-0.009007,4.416027
9,4.380869,-0.007626,4.380876
9.1,4.344812,-0.006457,4.344817
9.2,4.308077,-0.005467,4.308081
9.3,4.270862,-0.004628,4.270864
9.4,4.233332,-0.003918,4.233334
9.5,4.195633,-0.003317,4.195634
9.6,4.157884,-0.002808,4.157884
9.7,4.120187,-0.002377,4.120188
9.8,4.08263,-0.002013,4.08263
9.9,4.045283,-0.001704,4.045283
10,4.008207,-0.001442,4.008208
