x,f(x),f'(x)
-1.50E-01,-8.65E+00,-1.94E+01
-1.40E-01,-8.84E+00,-1.74E+01
-1.30E-01,-9.00E+00,-1.56E+01
-1.20E-01,-9.15E+00,-1.38E+01
-1.10E-01,-9.28E+00,-1.22E+01
-1.00E-01,-9.39E+00,-1.06E+01
-9.00E-02,-9.49E+00,-9.20E+00
-8.00E-02,-9.58E+00,-7.86E+00
-7.00E-02,-9.65E+00,-6.61E+00
-6.00E-02,-9.71E+00,-5.46E+00
-5.00E-02,-9.76E+00,-4.37E+00
-4.00E-02,-9.80E+00,-3.37E+00
-3.00E-02,-9.83E+00,-2.44E+00
-2.00E-02,-9.85E+00,-1.59E+00
-1.00E-02,-9.86E+00,-7.70E-01
0.00E+00,-9.86E+00,4.60E-02
1.00E-02,-9.86E+00,6.91E-01
2.00E-02,-9.85E+00,1.29E+00
3.00E-02,-9.83E+00,1.94E+00
4.00E-02,-9.81E+00,2.49E+00
5.00E-02,-9.78E+00,3.00E+00
6.00E-02,-9.75E+00,3.47E+00
7.00E-02,-9.71E+00,3.92E+00
8.00E-02,-9.67E+00,4.32E+00
9.00E-02,-9.63E+00,4.69E+00
1.00E-01,-9.58E+00,5.03E+00
1.10E-01,-9.53E+00,5.35E+00
1.20E-01,-9.47E+00,5.65E+00
1.30E-01,-9.41E+00,5.92E+00
1.40E-01,-9.35E+00,6.17E+00
1.50E-01,-9.29E+00,6.41E+00
