 r,Ureal,Uimag,Uabs
   0.000,  -42.824394,   -4.998999,   43.115180
   0.100,  -39.260417,   -4.998817,   39.577374
   0.200,  -39.252146,   -4.998603,   39.569142
   0.300,  -39.244313,   -4.998350,   39.561339
   0.400,  -39.236647,   -4.998051,   39.553698
   0.500,  -39.228840,   -4.997697,   39.545908
   0.600,  -39.220532,   -4.997280,   39.537614
   0.700,  -39.211312,   -4.996787,   39.528406
   0.800,  -39.200709,   -4.996204,   39.517814
   0.900,  -39.188178,   -4.995517,   39.505297
   1.000,  -39.173097,   -4.994704,   39.490234
   1.100,  -39.154751,   -4.993745,   39.471914
   1.200,  -39.132319,   -4.992613,   39.449520
   1.300,  -39.104864,   -4.991275,   39.422116
   1.400,  -39.071311,   -4.989696,   39.388633
   1.500,  -39.030434,   -4.987832,   39.347849
   1.600,  -38.980834,   -4.985631,   39.298371
   1.700,  -38.920918,   -4.983034,   39.238610
   1.800,  -38.848876,   -4.979970,   39.166763
   1.900,  -38.762658,   -4.976354,   39.080785
   2.000,  -38.659943,   -4.972090,   38.978364
   2.100,  -38.538119,   -4.967061,   38.856895
   2.200,  -38.394252,   -4.961134,   38.713453
   2.300,  -38.225063,   -4.954150,   38.544767
   2.400,  -38.026906,   -4.945924,   38.347200
   2.500,  -37.795748,   -4.936242,   38.116730
   2.600,  -37.527166,   -4.924852,   37.848941
   2.700,  -37.216341,   -4.911465,   37.539026
   2.800,  -36.858079,   -4.895743,   37.181801
   2.900,  -36.446848,   -4.877299,   36.771739
   3.000,  -35.976838,   -4.855688,   36.303038
   3.100,  -35.442053,   -4.830403,   35.769707
   3.200,  -34.836440,   -4.800870,   35.165693
   3.300,  -34.154063,   -4.766443,   34.485055
   3.400,  -33.389311,   -4.726403,   33.722174
   3.500,  -32.537165,   -4.679959,   32.872011
   3.600,  -31.593493,   -4.626255,   31.930409
   3.700,  -30.555389,   -4.564378,   30.894422
   3.800,  -29.421520,   -4.493378,   29.762666
   3.900,  -28.192476,   -4.412297,   28.535663
   4.000,  -26.871076,   -4.320202,   27.216151
   4.100,  -25.462617,   -4.216239,   25.809330
   4.200,  -23.975005,   -4.099691,   24.323000
   4.300,  -22.418767,   -3.970045,   22.767572
   4.400,  -20.806885,   -3.827071,   21.155919
   4.500,  -19.154478,   -3.670894,   19.503064
   4.600,  -17.478313,   -3.502061,   17.825708
   4.700,  -15.796190,   -3.321588,   16.141641
   4.800,  -14.126235,   -3.130976,   14.469054
   4.900,  -12.486176,   -2.932193,   12.825847
   5.000,  -10.892643,   -2.727612,   11.228960
   5.100,   -9.360561,   -2.519910,    9.693815
   5.200,   -7.902684,   -2.311933,    8.233921
   5.300,   -6.529281,   -2.106542,    6.860687
   5.400,   -5.247999,   -1.906456,    5.583553
   5.500,   -4.063880,   -1.714116,    4.410591
   5.600,   -2.979512,   -1.531574,    3.350106
   5.700,   -1.994997,   -1.360423,    2.414698
   5.800,   -1.104225,   -1.201771,    1.632044
   5.900,   -0.302695,   -1.056252,    1.098769
   6.000,    0.413619,   -0.924066,    1.012412
   6.100,    1.049615,   -0.805046,    1.322797
   6.200,    1.610767,   -0.698728,    1.755787
   6.300,    2.102861,   -0.604427,    2.188003
   6.400,    2.531794,   -0.521311,    2.584907
   6.500,    2.903398,   -0.448459,    2.937828
   6.600,    3.223320,   -0.384912,    3.246221
   6.700,    3.496930,   -0.329718,    3.512440
   6.800,    3.729262,   -0.281954,    3.739906
   6.900,    3.924979,   -0.240753,    3.932356
   7.000,    4.088357,   -0.205311,    4.093509
   7.100,    4.223284,   -0.174895,    4.226904
   7.200,    4.333273,   -0.148844,    4.335829
   7.300,    4.421474,   -0.126572,    4.423286
   7.400,    4.490701,   -0.107559,    4.491989
   7.500,    4.543453,   -0.091349,    4.544371
   7.600,    4.581943,   -0.077542,    4.582599
   7.700,    4.608124,   -0.065795,    4.608593
   7.800,    4.623711,   -0.055807,    4.624048
   7.900,    4.630210,   -0.047321,    4.630452
   8.000,    4.628940,   -0.040114,    4.629113
   8.100,    4.621048,   -0.033998,    4.621173
   8.200,    4.607538,   -0.028809,    4.607628
   8.300,    4.589281,   -0.024408,    4.589346
   8.400,    4.567033,   -0.020676,    4.567080
   8.500,    4.541450,   -0.017513,    4.541484
   8.600,    4.513100,   -0.014832,    4.513124
   8.700,    4.482472,   -0.012561,    4.482490
   8.800,    4.449990,   -0.010637,    4.450003
   8.900,    4.416018,   -0.009007,    4.416027
   9.000,    4.380869,   -0.007626,    4.380876
   9.100,    4.344812,   -0.006457,    4.344817
   9.200,    4.308077,   -0.005467,    4.308081
   9.300,    4.270862,   -0.004628,    4.270864
   9.400,    4.233332,   -0.003918,    4.233334
   9.500,    4.195633,   -0.003317,    4.195634
   9.600,    4.157884,   -0.002808,    4.157884
   9.700,    4.120187,   -0.002377,    4.120188
   9.800,    4.082630,   -0.002013,    4.082630
   9.900,    4.045283,   -0.001704,    4.045283
  10.000,    4.008207,   -0.001442,    4.008208
